,country_id,country,year,main_mean,actuals_last_12months,predicted_change_in_percent,predicted_violence_category
32,213,Libya,2026,30.7984,12.0,156.65333333333334,conflict
6,124,Yemen,2026,2191.838,1430.0,53.275384615384624,conflict
34,9,Brazil,2026,25.5422,18.0,41.90111111111111,conflict
2,136,Pakistan,2026,4322.1464,3149.0,37.25456970466814,conflict
28,237,Kenya,2026,63.2626,47.0,34.60127659574468,conflict
13,223,India,2026,702.2459,554.0,26.759187725631772,conflict
23,145,Philippines,2026,165.1141,135.0,22.306740740740747,conflict
19,162,Mozambique,2026,248.667,249.0,-0.1337349397590355,conflict
3,120,Somalia,2026,3498.9602,3584.0,-2.3727622767857146,conflict
20,69,Cameroon,2026,228.68630000000002,241.0,-5.1094190871369225,conflict
12,50,Mali,2026,1208.5652,1290.0,-6.3127751937984495,conflict
30,214,Chad,2026,40.2466,43.0,-6.403255813953486,conflict
4,79,Nigeria,2026,3341.44,3706.0,-9.83702104695089,conflict
17,28,Colombia,2026,317.9939,364.0,-12.639038461538462,conflict
18,133,Afghanistan,2026,313.738,374.0,-16.11283422459893,conflict
7,57,Ethiopia,2026,1860.9812,2394.0,-22.264778613199667,conflict
33,67,Algeria,2026,25.7728,35.0,-26.36342857142857,conflict
27,209,Indonesia,2026,80.3668,119.0,-32.46487394957983,conflict
25,60,Iraq,2026,129.6118,193.0,-32.84362694300519,conflict
9,149,Myanmar,2026,1415.4726,2139.0,-33.82549789621318,conflict
16,24,Haiti,2026,353.0815,583.0,-39.43713550600343,conflict
15,78,Niger,2026,604.6587,1001.0,-39.59453546453547,conflict
22,246,South Sudan,2026,188.7576,319.0,-40.82833855799373,conflict
29,150,Thailand,2026,44.9453,77.0,-41.629480519480516,conflict
8,47,Burkina Faso,2026,1518.3431,2829.0,-46.32933545422411,conflict
26,70,Central African Republic,2026,88.5107,226.0,-60.83597345132744,conflict
10,220,Syria,2026,1275.2793,3432.0,-62.84151223776223,conflict
1,218,Israel,2026,5688.2359,16777.0,-66.09503546522023,conflict
11,167,"Congo, DRC",2026,1234.7349,3983.0,-68.9998769771529,conflict
5,245,Sudan,2026,2376.0369,8358.0,-71.57170495333813,conflict
31,74,Benin,2026,36.870599999999996,168.0,-78.05321428571429,conflict
0,117,Ukraine,2026,9690.6618,69676.0,-86.09182243527182,conflict
21,94,Lebanon,2026,189.5197,1506.0,-87.41569057104913,conflict
24,128,Iran,2026,130.7164,1307.0,-89.99874521805663,conflict
14,65,Russia,2026,641.9258,7279.0,-91.18112652836928,conflict
